Sample,SMILES,Protein adsorption / ng cm-2,Protein MW / kDa,Protein Charge (pI),Thickness (nm),Type,Predicted Zeta (mV),Predicted CA (deg),Ref
PBMA ,C=C(C)C(=O)OCCCC,230.21112271320357,66.5,4.7,11.962,BSA,-18.940662,81.8446148,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PHEMA ,C=C(C)C(=O)OCCO,35.63178088314565,66.5,4.7,16.822,BSA,-12.367573,47.56197349,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,18.136449406986326,66.5,4.7,17.9,BSA,-8.504514,51.628971,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMEA ,C=CC(=O)OCCOC,4.508901047314891,66.5,4.7,19.78895833,BSA,-2.4740336,53.04858971,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],449.64284838280315,66.5,4.7,9.2225,BSA,26.610718,44.12879224,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PCBMA ,C=C(C)C(=O)OCC[N+](C)(C)CCC(=O)[O-],16.084259143391943,66.5,4.7,19.38733333,BSA,-8.906415,19.46224107,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,66.5,4.7,12.49,BSA,-1.2724454,12.31850893,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],29.61496418047282,66.5,4.7,18.93,BSA,-51.27758,13.96648194,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5b04186
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],529.7292511940589,66.5,4.7,7.3,BSA,29.687649,20.68649027,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],664.3520641745562,66.5,4.7,11.8,BSA,43.05105,20.76245473,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],709.201368453219,66.5,4.7,6.2,BSA,39.607033,20.67168302,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],673.6033449603497,66.5,4.7,17.6,BSA,44.641705,20.89647337,https://pubs.acs.org/doi/full/10.1021/acs.langmuir.3c02472
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,10.718752101020547,66.5,4.7,6.8,BSA,-8.700059,50.54834982,https://www.sciencedirect.com/science/article/pii/S0927776517305544?via%3Dihub
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,66.5,4.7,7.7,BSA,-8.6514435,12.01372055,https://www.sciencedirect.com/science/article/pii/S0927776517305544?via%3Dihub
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],658.0255132830758,66.5,4.7,5.3,BSA,24.585434,44.09321156,https://www.tandfonline.com/doi/full/10.1080/09205063.2019.1710900
PMAA,C=C(C)C(=O)OCCNC(=O)CCC(=O)O,389.47120572338923,66.5,4.7,3.3,BSA,-34.07377,31.86992648,https://www.tandfonline.com/doi/full/10.1080/09205063.2019.1710900
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,66.5,4.7,5.9,BSA,-2.4862142,11.9086381,https://pubs.acs.org/doi/full/10.1021/acsami.6b01213
PAEMA ,C=C(C)C(=O)OCC[NH3+].[Cl-],686.3765925493769,66.5,4.7,5.0,BSA,24.470623,44.09075795,https://pubs.acs.org/doi/full/10.1021/acsami.6b01213
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,66.5,4.7,23.5,BSA,-4.5875216,13.15318186,https://pubs.acs.org/doi/full/10.1021/la404981k
PMTAC,C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-],199.88404297915673,66.5,4.7,12.7,BSA,47.89375,20.78059906,https://pubs.acs.org/doi/full/10.1021/la404981k
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],0.0,66.5,4.7,23.3,BSA,-57.269745,14.15228477,https://pubs.acs.org/doi/full/10.1021/la404981k
PHEMA,C=C(C)C(=O)OCCO,0.0,66.5,4.7,13.4,BSA,-9.486631,47.14341843,https://pubs.acs.org/doi/full/10.1021/la404981k
PBMA,C=C(C)C(=O)OCCCC,87.82520443587319,66.5,4.7,21.4,BSA,-22.589005,83.25756005,https://pubs.acs.org/doi/full/10.1021/la404981k
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,19.32428922622393,66.5,4.7,1.74,BSA,-3.0784194,11.68588726,https://pubs.acs.org/doi/full/10.1021/acsami.5b01138
PNIPAAm,C=CC(=O)NC(C)C,220.0047146225437,66.5,4.7,0.63,BSA,-6.2330294,56.36161706,https://pubs.acs.org/doi/full/10.1021/acsami.5b01138
PtBA,CC(C)(C)OC(=O)C=C,249.75084691051535,66.5,4.7,1.82,BSA,-5.7734995,80.01122505,https://pubs.acs.org/doi/full/10.1021/acsami.5b01138
PMPC,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,19.76981899554679,66.5,4.7,1.7,BSA,-3.0784194,11.68388291,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PCMB,C=C(C)C(=O)OCC[N+](C)(C)CC(=O)[O-],0.5846518746459428,66.5,4.7,8.1,BSA,-8.985689,15.01823017,https://pubs.acs.org/doi/10.1021/acsami.4c01401
PCMB,C=C(C)C(=O)OCC[N+](C)(C)CC(=O)[O-],1.8960726304159743,66.5,4.7,4.6,BSA,-11.373198,14.84950269,https://pubs.acs.org/doi/10.1021/acsami.4c01401
